productName,Sales Description,SKU,Type,Sales Price / Rate,Income Account,Purchase Description,Purchase Cost,Expense Account,Quantity on Hand,Reorder Point,Inventory Asset Account,Quantity as-of Date
Cherries Organic Per Lb, - 671891,FP1285,Inventory,,,1-Lb,,,,,,
Indian Kharbuja Per Lb, - 671906,FP1286,Inventory,,,1-Lb,,,,,,
Eggplant White Thai Per Lb, - 672100,FP1292,Inventory,,,1-Lb,,,,,,
Guava Baby Per Lb, - 671812,FP1300,Inventory,,,1-Lb,,,,,,
Grapefruit 5 For $1, - ,FP1301,Inventory,,,1-,,,,,,
Indian Petha Lb, - 672053,FP1303,Inventory,,,1-Lb,,,,,,
Eggplant Chinese Small Per Lb, - 672036,FP1304,Inventory,,,30-Lb,,,,,,
Saag Indian Bunch, - 671858,FP1355,Inventory,,,24-Ea,,,,,,
Maggi Noodle 2 For, - ,FP1363,Inventory,,,1-,,,,,,
Parle-G Biscuits 6 For $72, - ,FP1364,Inventory,,,1-,,,,,,
Parle Kreams, - ,FP1365,Inventory,,,1-,,,,,,
Threptin Diskettes 275G, - ,FP1369,Inventory,,,1-,,,,,,
Peanuts Raw Per Lb,TBD -Peanut Raw 50# - 671957,FP1374,Inventory,,,50-Lb,,,,,,
Jasmine Malli Flower, - 671781,FP1375,Inventory,,,1-,,,,,,
Lettuce Pacific Romaine Hearts 3 Pack, - 671877,FP1382,Inventory,,,24-,,,,,,
Lemon Grass Per Lb, - 671828,FP1384,Inventory,,,40-Lb,,,,,,
Apni Mandi Cut Yellow Papaya Per Lb, - ,FP1385,Inventory,,,1-,,,,,,
Pomegranate Cup Ea, - ,FP1386,Inventory,,,1-,,,,,,
Apni Mandi Cut Cantaloupe Tray, - ,FP1387,Inventory,,,1-,,,,,,
Apni Mandi Sweet Yellow Grapes Box Per Lb, - ,FP1388,Inventory,,,1-,,,,,,
Apni Mandi Sweet Black Grapes Box Per Lb, - ,FP1389,Inventory,,,1-,,,,,,
Tomato Grape Medley Per Lb, - 672065,FP1390,Inventory,,,1-Lb,,,,,,
Apni Mandi Mix Bell Papper Cut Per Lb, - ,FP1393,Inventory,,,1-,,,,,,
Coconut Bansi Dry 1Lb, - ,FP1396,Inventory,,,1-Lb,,,,,,
Chili Mix Thai Per Lb, - 672000,FP1397,Inventory,,,1-Lb,,,,,,
Artichoke 2 For$1, - ,FP1398,Inventory,,,1-,,,,,,
Mango Atulfo 6Pc Pack, - 671879,FP1399,Inventory,,,1-,,,,,,
Garlic South Sea Pearl Peeled 1Lb,TBD -Peeled Garlic 20x1 China - 671793,FP1400,Inventory,,,20-Ea,,,,,,
Basil Leaves, - 671821,FP1402,Inventory,,,1-,,,,,,
Moongra Per Lb, - 671851,FP1403,Inventory,,,1-Lb,,,,,,
Mushroom Loose Per Lb, - ,FP1404,Inventory,,,10-Lb,,,,,,
Pear Jct Singo 3Pcs Ea, - 671978,FP1406,Inventory,,,1-Ea,,,,,,
